id,screen_name,name,created_at,statuses_count,followers_count,friends_count,favourites_count,listed_count,verified,default_profile,description,label
,,,,0,0,0,0,0,False,False,,1
80479674,yi_twitts,YI YUAN,Wed Oct 07 03:19:21 +0000 2009,29,19,255,1,0,,,real estate sales ,1
82487179,marcos_peca,Marcos Perez C,Wed Oct 14 23:40:17 +0000 2009,1408,208,866,138,0,,,,1
105830531,curtilorenzo,curti lorenzo,Sun Jan 17 16:46:52 +0000 2010,39,59,962,8,0,,,le corna del capro scappato dal gregge s'infilan nel culo al pirla che legge,1
114488344,gatito2710,ruben dario toscano ,Mon Feb 15 15:49:58 +0000 2010,59,7,49,4,0,,1.0,,1
123222267,MalekKhalaf,Malek Khalaf,Mon Mar 15 11:38:55 +0000 2010,987,60,521,61,1,,,"MA student at JU, Interested in Juventus,Italy,Serie a, Technology world,Video games, Cars,Learning other languages & Socialist thinking http://t.co/SycIvbgq",1
144602443,ruthyohanna,ruthyohannadelarosa,Sun May 16 19:51:50 +0000 2010,286,141,1075,3,0,,1.0,Con Dios no necesito nada mas el es mi fortaleza,1
212958140,July_pz,Julieta Analia Perez,Sun Nov 07 15:13:37 +0000 2010,45,16,342,0,1,,1.0,,1
278082770,bevega,carlosjaviervega,Wed Apr 06 15:35:32 +0000 2011,72,14,287,0,0,,1.0,,1
367651000,giatadde,Giampaolo Taddei,Sun Sep 04 09:54:29 +0000 2011,1,0,122,0,0,,1.0,,1
370098498,pirfectmoses,pirfectmoses,Thu Sep 08 13:20:35 +0000 2011,24,4,588,16,0,,,,1
599789901,212Amhemd,Ahmed Mohamed,Tue Jun 05 01:12:01 +0000 2012,0,4,228,0,0,,1.0,,1
10935572,clarebear4,clareanderson,Fri Dec 07 13:57:04 +0000 2007,557,171,1398,7,1,,,,1
16119337,protektor,protektor,Wed Sep 03 20:42:11 +0000 2008,383,9,564,10,0,,1.0,,1
16753788,emsykes,emsykes,Wed Oct 15 03:31:07 +0000 2008,30,91,527,0,0,,1.0,,1
17640121,litium54,litium54,Wed Nov 26 02:48:55 +0000 2008,20,17,361,0,0,,,,1
17656600,rdhoosier,Dick Hillenbrand,Wed Nov 26 18:59:35 +0000 2008,307,583,836,92,9,,,Principal/Investor - Hillenbrand Capital Partners. Manager/Producer - Heroes & Villains Ent. Entrepreneur. Lover of charitable dreamers. LiveLoveInvestGive.,1
19230427,ruwo,ruth woolnough,Tue Jan 20 10:53:18 +0000 2009,96,13,466,1,0,,1.0,Live life to the full never regret the past but embrace the future !!,1
19951698,gopher2000,larry,Tue Feb 03 03:26:53 +0000 2009,215,63,901,13,0,,1.0,,1
20726266,BibianaOrdensVi,BibianaOrdensVieira,Thu Feb 12 22:24:36 +0000 2009,0,6,599,0,0,,1.0,,1
20731719,chrissmithy76,Chris Smith,Thu Feb 12 23:32:13 +0000 2009,441,18,1009,0,0,,,,1
