id,screen_name,name,created_at,statuses_count,followers_count,friends_count,favourites_count,listed_count,verified,default_profile,description,label
613512037,BaseballQuotes1,Baseball Quotes,Wed Jun 20 15:07:36 +0000 2012,21246,121500,346,35894,532,False,False,Quoting America's Pastime in 280 characters or less.,0
19263978,cavs,Cleveland Cavaliers,Tue Jan 20 23:15:20 +0000 2009,45791,3227215,1946,16134,9039,True,False,Official Twitter of the 2016 NBA Champion Cleveland Cavaliers. @NBAGLeague Affiliate @CantonCharge. #BeTheFight,0
1624329463,muohajer_12,‏المهاجر 1M,Sat Jul 27 01:44:55 +0000 2013,875763,864968,767106,23,1371,False,True,,1
550610050,Bc20_,BC.20,Wed Apr 11 01:52:30 +0000 2012,88862,951,275,22147,9,False,False,R.I.P JRL21//R.I.P Monica💙 IG//b.20c #GLOHIOBOYS,0
149714640,_Blkahontas,mia 🧜🏾‍♀️🖤💋,Sun May 30 01:32:39 +0000 2010,142073,1412,623,5582,12,False,False,to die for 🔮🤞🏾👸🏾,0
76943986,crmnvctr,Optimus Prime,Thu Sep 24 13:53:10 +0000 2009,85419,1615,182,34629,27,False,False,The only way home is winning.,0
728040086848319489,997JK,.,Thu May 05 01:54:17 +0000 2016,4098,155,0,57,2,False,False,,0
131279295,alanhoglund,Alan Hoglund,Fri Apr 09 20:27:20 +0000 2010,22256,1231,1089,2017,68,False,False,"📺 @KSTP Producer, Emmy Winner, Husband, Dad x2, Singer, Black Coffee Addict - Saved by Grace 📨 ahoglund@kstp.com",0
294150384,Infomedia24hrs,Infomedia 🇦🇷,Fri May 06 16:24:59 +0000 2011,110251,378218,347,120,646,False,False,Noticias las 24hrs con Opinión #Independiente - #Ratings 📺 - #Revistas #Diarios ⚽️ en PDF  - #News 🌎  24/7 -,1
19129949,jeremstar,JEREMSTAR,Sun Jan 18 00:34:14 +0000 2009,136670,1900367,9,53420,840,True,False,Contact: Jeremstar@yahoo.com - Snapchat: Jeremstar,0
2669946973,hi_springjk,"안녕,봄",Tue Jul 22 16:44:11 +0000 2014,13559,820881,5,924,8578,False,True,"너는 나에게 봄이었고, 미소였고, 햇살이었고, 설레는 봄바람이었어 #방탄소년단 #BTS #정국 #jungkook •weibo ➡️ https://t.co/T2rIao3iIg •instagram ➡️ hi_springjk •공지는 마음통",1
3019325733,JoeHeadTV,Kip Dynamite,Thu Feb 05 04:51:37 +0000 2015,3106,23454,284,4332,13,False,True,Full time singer/song writer & sensitive Proud owner of a 50” TV and a working fridge,0
1038692990,annemuyfresca,It’s pronounced like Ann-knee,Thu Dec 27 03:23:57 +0000 2012,100989,808,513,12325,5,False,False,A1 SINCE DAY 1 | 4.30.16,0
558652897,_diet_meigen_,ダイエットの名言,Fri Apr 20 13:49:25 +0000 2012,35406,136685,0,1763,613,False,False,ダイエットの成功を目指す、あなたモチベーションを上げるためのアカウントです。一時間に一回、ダイエットのやる気を出させてくれる名言の数々をつぶやいていきます。 LINEでダイエットサポートのアカウント「ダイエットトレーナー」も展開しているので、登録してみてください。 #LINEでダイエット,1
